Ab Kettleby,East Midlands,Leicestershire,5
Abberd,South West England,Wiltshire,5
Abberley,West Midlands,Worcestershire,5
Abberton,Eastern England,Essex,5
Abbess Roding,Eastern England,Essex,5
Abbey Gate,South West England,Devon,5
Abbey Hey,North West England,Greater Manchester,5
Abbey Slip,South West England,Cornwall,5
Abbey Town,North West England,Cumbria,5
Abbey Village,North West England,Lancashire,5
Abbey Wood,London,South East London,4
Abbeycwmhir,Wales,Powys,5
Abbeydale,South West England,Gloucestershire,5
Abbeydore,West Midlands,Herefordshire,5
Abbeylands,Isle Of Man,Abbeylands,3
Abbeymead,South West England,Gloucestershire,5
Abbeystead,North West England,Lancashire,5
Abbeytown,North West England,Cumbria,5
Abbots Bickington,South West England,Devon,6
Abbots Bromley,West Midlands,Staffordshire,5
Abbots Langley,Eastern England,Hertfordshire,4
Abbots Leigh,South West England,Bristol,4
Abbots Lench,West Midlands,Worcestershire,5
Abbots Morton,West Midlands,Worcestershire,5
Abbots Ripton,Eastern England,Cambridgeshire,5
Abbots Salford,West Midlands,Worcestershire,5
Abbots Worthy,South East England,Hampshire,5
Abbotsbury,South West England,Dorset,5
Abbotsham,South West England,Devon,5
Abbotsinch,Scotland,Renfrewshire,5
Abbotskerswell,South West England,Devon,5
Abbotsley,Eastern England,Cambridgeshire,5
Abbotstone,South East England,Hampshire,5
Abbotts Ann,South East England,Hampshire,5
Abbotts Ann Down,South East England,Hampshire,5
Abbotts Barton,South East England,Hampshire,5
Abcott,West Midlands,Shropshire,6
Abdon,West Midlands,Shropshire,5
Aber Cywarch,Wales,Powys,5
Aberaeron,Wales,Ceredigion,4
Aberaman,Wales,Rhondda Cynon Taff,5
Aberangell,Wales,Powys,5
Aberarad,Wales,Carmarthenshire,5
Aberarder,Scotland,Highland,5
Aberargie,Scotland,Perth & Kinross,5
Aberarth,Wales,Ceredigion,5
Aberavon,Wales,Neath Port Talbot,5
Aberbargoed,Wales,Caerphilly,5
Aberbechan,Wales,Powys,5
Aberbeeg,Wales,Blaenau Gwent,5
Aberbran,Wales,Powys,5
Abercamlais,Wales,Powys,5
Abercanaid,Wales,Merthyr Tydfil,5
Abercarn,Wales,Newport,4
Abercastle,Wales,Pembrokeshire,5
Abercegir,Wales,Powys,5
Aberchirder,Scotland,Aberdeenshire,5
Abercrave,Wales,Swansea,4
Abercrombie,Scotland,Fife,5
Abercwmboi,Wales,Rhondda Cynon Taff,5
Abercych,Wales,Pembrokeshire,5
Abercynon,Wales,Rhondda Cynon Taff,5
Aberdalgie,Scotland,Perth & Kinross,5
Aberdare,Wales,Rhondda Cynon Taff,4
Aberdaron,Wales,Gwynedd,5
Aberdeen,Scotland,Aberdeenshire,4
Aberdeenshire,Scotland,Aberdeenshire,3
Aberdesach,Wales,Gwynedd,5
Aberdour,Scotland,Fife,5
Aberdovey,Wales,Gwynedd,4
Aberdulais,Wales,Neath Port Talbot,5
Aberedw,Wales,Powys,5
Abereiddy,Wales,Pembrokeshire,6
Abererch,Wales,Gwynedd,5
Aberfan,Wales,Merthyr Tydfil,5
Aberfeldy,Scotland,Perth & Kinross,4
Aberffraw,Wales,Isle Of Anglesey,5
Aberffrwd,Wales,Ceredigion,5
Aberford,Yorkshire And The Humber,West Yorkshire,5
Aberfoyle,Scotland,Stirling,5
Abergarwed,Wales,Neath Port Talbot,5
Abergavenny,Wales,Monmouthshire,4
Abergeirw,Wales,Gwynedd,5
Abergele,Wales,Conwy,4
Abergorlech,Wales,Carmarthenshire,5
Abergwesyn,Wales,Powys,5
Abergwili,Wales,Carmarthenshire,5
